Unnamed: 0,id,lon,lat,year,month,day,y_test,LGBM_y_pred,difference,date
10222,54521,116.98,39.7,2003,1,1,1.059931,0.997319891,-0.062611109,2003/1/1
13454,54627,117.23,38.03,2003,1,6,1.038617,1.049880278,0.011263278,2003/1/6
3862,53798,114.37,37.18,2003,1,10,2.404458,2.321086319,-0.083371681,2003/1/10
8970,54499,116.22,40.22,2003,1,16,1.979207,1.586567016,-0.392639984,2003/1/16
22696,54940,119.2,35.75,2003,1,26,3.405481,2.69920314,-0.70627786,2003/1/26
13521,54628,117.48,38.15,2003,1,31,1.84246,1.832753384,-0.009706616,2003/1/31
21044,54909,115.52,35.08,2003,2,7,3.200426,3.562576035,0.362150035,2003/2/7
719,53498,115.03,40.57,2003,2,10,0.590858,0.870190682,0.279332682,2003/2/10
25567,58027,117.15,34.28,2003,2,22,4.806465,4.757755383,-0.048709617,2003/2/22
20297,54857,120.33,36.07,2003,2,25,4.695769,4.704261656,0.008492656,2003/2/25
24275,58003,115.88,34.95,2003,3,10,3.425063,3.613752355,0.188689355,2003/3/10
9456,54507,115.52,39.33,2003,3,16,3.767876,3.494641062,-0.273234938,2003/3/16
9168,54502,116.03,39.48,2003,3,31,5.638366,5.467030764,-0.171335236,2003/3/31
23397,57089,113.93,34.07,2003,4,7,5.972537,6.827752416,0.855215416,2003/4/7
2244,53694,114.22,38.27,2003,4,10,4.659661,4.637849769,-0.021811231,2003/4/10
21731,54918,116.97,35.6,2003,4,23,6.93657,6.865716352,-0.070853648,2003/4/23
8254,54431,116.75,39.85,2003,4,26,7.310632,6.757982504,-0.552649496,2003/4/26
14662,54708,115.73,37.5,2003,5,2,9.044868,8.976036551,-0.068831449,2003/5/2
24686,58011,116.07,34.8,2003,5,8,5.831546,5.652362556,-0.179183444,2003/5/8
10199,54520,117.08,39.97,2003,5,19,9.213532,8.423402482,-0.790129518,2003/5/19
18478,54823,117,36.6,2003,5,21,9.205995,9.396618526,0.190623526,2003/5/21
17729,54811,116.62,36.93,2003,5,29,14.129207,13.45170288,-0.677504124,2003/5/29
5876,53985,113.82,35.5,2003,6,8,11.532479,12.08771443,0.555235433,2003/6/8
20132,54852,120.73,36.97,2003,6,20,15.230289,15.26727468,0.036985678,2003/6/20
3624,53795,114.4,37.65,2003,6,26,12.194251,13.71909333,1.52484233,2003/6/26
14602,54707,115.98,37.35,2003,7,7,14.996035,16.25274372,1.256708718,2003/7/7
9530,54510,116.95,39.92,2003,7,17,14.453701,14.41688384,-0.036817156,2003/7/17
23513,57090,113.97,34.72,2003,7,22,17.330471,17.0554798,-0.274991201,2003/7/22
3592,53794,114.75,37.35,2003,7,26,21.87222,21.45115795,-0.421062047,2003/7/26
20455,54901,115.17,36.08,2003,8,4,18.037251,17.83759288,-0.199658116,2003/8/4
14853,54710,116.17,37.87,2003,8,11,13.131729,13.79339994,0.66167094,2003/8/11
9592,54511,116.47,39.8,2003,8,16,11.82477,11.31341517,-0.51135483,2003/8/16
18127,54818,116.42,36.25,2003,9,4,14.732293,13.85113939,-0.881153615,2003/9/4
9438,54507,115.52,39.33,2003,9,8,12.311409,12.6152742,0.303865198,2003/9/8
11713,54601,115.65,38.98,2003,9,12,12.404493,12.05242137,-0.352071632,2003/9/12
3844,53798,114.37,37.18,2003,9,17,15.410967,15.22789005,-0.183076955,2003/9/17
4521,53888,113.43,36.2,2003,9,21,9.238891,9.514148419,0.275257419,2003/9/21
19742,54844,119.18,36.42,2003,9,25,11.609087,11.76699317,0.157906169,2003/9/25
12054,54606,115.73,38.23,2003,10,2,6.502517,5.954608048,-0.547908952,2003/10/2
13162,54621,115.18,38.18,2003,10,4,6.83803,6.983572155,0.145542155,2003/10/4
17763,54812,116.72,36.73,2003,10,5,7.513604,8.024767407,0.511163407,2003/10/5
4720,53891,114.68,37.02,2003,10,11,6.871667,7.614959165,0.743292165,2003/10/11
5894,53985,113.82,35.5,2003,10,22,3.104245,3.864496955,0.760251955,2003/10/22
15133,54714,116.33,37.45,2003,10,23,3.765825,4.263074896,0.497249896,2003/10/23
6942,54399,116.28,39.98,2003,10,31,6.517926,6.583506161,0.065580161,2003/10/31
14774,54709,116.07,37.23,2003,11,3,2.644201,2.856272129,0.212071129,2003/11/3
11770,54602,115.48,38.73,2003,11,8,2.74773,2.200339368,-0.547390632,2003/11/8
26300,58048,119.35,34.12,2003,11,19,8.91464,8.291375221,-0.623264779,2003/11/19
10431,54525,117.28,39.73,2003,11,22,2.596964,2.608910996,0.011946996,2003/11/22
1078,53585,113.27,39.17,2003,11,23,2.24256,2.461661963,0.219101963,2003/11/23
794,53499,114.73,40.77,2003,11,28,1.827658,1.312053661,-0.515604339,2003/11/28
10095,54519,116.48,39.3,2003,12,3,1.691108,2.04170437,0.35059637,2003/12/3
2238,53693,114.13,38.03,2003,12,10,2.581042,2.448952116,-0.132089884,2003/12/10
4807,53892,114.47,36.62,2003,12,11,2.47421,2.533139129,0.058929129,2003/12/11
4162,53882,113.03,36.07,2003,12,24,1.77174,1.716357775,-0.055382225,2003/12/24
17862,54814,116.25,36.53,2003,12,29,2.228317,2.151177328,-0.077139672,2003/12/29
21458,54916,116.85,35.57,2004,1,3,2.613581,2.487346211,-0.126234789,2004/1/3
24713,58012,116.65,34.67,2004,1,9,3.929613,4.048938976,0.119325976,2004/1/9
25234,58022,117.57,34.75,2004,1,12,2.306255,1.806378827,-0.499876173,2004/1/12
12938,54619,116.92,38.92,2004,1,14,1.711112,1.908091135,0.196979135,2004/1/14
16172,54736,118.67,37.43,2004,1,18,2.192755,1.853854844,-0.338900156,2004/1/18
11774,54603,115.77,38.72,2004,2,6,0.730432,0.569076343,-0.161355657,2004/2/6
18995,54832,118.8,36.87,2004,2,7,0.866851,0.89497801,0.02812701,2004/2/7
14786,54711,116.28,37.7,2004,2,13,2.240296,1.652835556,-0.587460444,2004/2/13
11183,54539,118.88,39.43,2004,2,25,1.762592,2.017774623,0.255182623,2004/2/25
7019,54401,114.92,40.77,2004,3,3,0.959618,0.874241741,-0.085376259,2004/3/3
18500,54824,117.95,36.63,2004,3,15,6.214946,6.031231757,-0.183714243,2004/3/15
391,53488,113.58,40.03,2004,3,25,1.72085,2.179141544,0.458291544,2004/3/25
23315,57089,113.93,34.07,2004,4,6,5.430286,5.368483126,-0.061802874,2004/4/6
9786,54514,116.25,39.87,2004,4,9,4.882765,4.721586341,-0.161178659,2004/4/9
23902,57099,114.85,34.07,2004,4,20,11.460122,11.64564322,0.185521221,2004/4/20
7264,54406,115.97,40.45,2004,4,24,3.088829,3.612704577,0.523875577,2004/4/24
5631,53982,113.27,35.23,2004,4,29,11.72863,11.7119991,-0.016630902,2004/4/29
4947,53894,114.2,36.4,2004,5,5,4.49377,5.689608986,1.195838986,2004/5/5
17324,54807,115.77,36.15,2004,5,18,11.815277,11.7846997,-0.030577302,2004/5/18
25901,58038,118.78,34.08,2004,5,21,8.000631,7.122780305,-0.877850695,2004/5/21
20168,54855,120.38,36.4,2004,5,28,12.014624,11.0607867,-0.953837296,2004/5/28
20008,54852,120.73,36.97,2004,6,6,7.825805,9.533152897,1.707347897,2004/6/6
11480,54596,116.2,39.77,2004,6,15,10.236858,10.38300129,0.146143291,2004/6/15
5180,53897,114.35,36.4,2004,6,22,13.765507,14.10780763,0.342300634,2004/6/22
7631,54420,117.33,40.93,2004,7,5,10.947957,11.17149617,0.223539172,2004/7/5
13981,54700,115.93,38.03,2004,7,10,17.035788,17.06143884,0.025650835,2004/7/10
11882,54604,115.33,38.42,2004,7,21,18.680548,19.24726865,0.566720651,2004/7/21
1235,53594,114.18,39.45,2004,7,24,15.662389,15.44554369,-0.216845312,2004/7/24
8948,54499,116.22,40.22,2004,8,1,13.75672,13.81650119,0.059781194,2004/8/1
309,53487,113.42,40.08,2004,8,5,12.077284,11.879877,-0.197407002,2004/8/5
4578,53889,113.87,36.07,2004,8,13,12.273323,11.95294506,-0.320377937,2004/8/13
21154,54912,116.5,35.77,2004,8,31,14.001042,13.62638417,-0.374657826,2004/8/31
14727,54710,116.17,37.87,2004,9,6,14.003219,13.43849872,-0.564720278,2004/9/6
497,53490,114.05,40.43,2004,9,12,9.587047,10.04327886,0.456231856,2004/9/12
315,53487,113.42,40.08,2004,9,14,8.743254,8.606599738,-0.136654262,2004/9/14
9074,54501,115.68,39.97,2004,9,19,7.603913,6.282486667,-1.321426333,2004/9/19
14947,54713,116.53,37.88,2004,9,25,11.434002,10.63621995,-0.797782051,2004/9/25
15890,54730,118.13,37.7,2004,9,29,12.863667,12.39571556,-0.467951439,2004/9/29
13905,54645,117.47,38.85,2004,10,2,3.91271,4.040329815,0.127619815,2004/10/2
3034,53785,114.67,37.52,2004,10,5,7.984104,7.721418667,-0.262685333,2004/10/5
24117,58002,115.58,34.85,2004,10,11,8.993724,9.405100247,0.411376247,2004/10/11
12998,54620,115.57,38.48,2004,10,17,8.242339,7.523427887,-0.718911113,2004/10/17
14313,54704,115.57,37.52,2004,10,22,3.675935,4.482307034,0.806372034,2004/10/22
8253,54431,116.75,39.85,2004,10,31,6.84078,6.31624345,-0.52453655,2004/10/31
17328,54807,115.77,36.15,2004,11,2,5.5246,5.264418388,-0.260181612,2004/11/2
9187,54503,115.82,39.07,2004,11,8,5.448205,5.2998626,-0.1483424,2004/11/8
15816,54729,117.87,37.17,2004,11,10,5.816513,5.505488317,-0.311024683,2004/11/10
9788,54514,116.25,39.87,2004,11,19,2.262083,2.717296921,0.455213921,2004/11/19
9715,54513,116.2,39.95,2004,11,23,3.17968,3.126161062,-0.053518938,2004/11/23
8558,54436,118.95,40.42,2004,11,24,1.446869,1.463964185,0.017095185,2004/11/24
7423,54412,116.63,40.73,2004,11,28,1.954344,1.847682624,-0.106661376,2004/11/28
2537,53698,114.35,38.07,2004,12,7,1.16624,1.822573068,0.656333068,2004/12/7
9217,54503,115.82,39.07,2004,12,10,2.206719,2.583019284,0.376300284,2004/12/10
11090,54534,118.1,39.65,2004,12,11,3.329542,3.076176775,-0.253365225,2004/12/11
21682,54919,116.98,35.38,2004,12,24,1.703364,1.731244312,0.027880312,2004/12/24
1482,53680,114.38,38.3,2005,1,3,1.649451,1.913474134,0.264023134,2005/1/3
4715,53891,114.68,37.02,2005,1,4,1.282176,1.248483481,-0.033692519,2005/1/4
12774,54617,116.17,38.2,2005,1,9,1.387749,1.309157984,-0.078591016,2005/1/9
18623,54827,117.15,36.17,2005,1,14,1.651534,1.858913652,0.207379652,2005/1/14
23425,57091,114.3,34.78,2005,1,18,1.972557,1.987742254,0.015185254,2005/1/18
8285,54432,118.47,40.62,2005,1,23,1.842129,1.638464945,-0.203664055,2005/1/23
17744,54814,116.25,36.53,2005,2,8,2.260109,2.066934537,-0.193174463,2005/2/8
19380,54841,119.42,36.87,2005,2,11,1.193335,1.070746778,-0.122588222,2005/2/11
22651,54945,119.55,35.47,2005,2,23,2.513926,2.474135405,-0.039790595,2005/2/23
14919,54713,116.53,37.88,2005,2,26,1.956776,2.159988614,0.203212614,2005/2/26
22645,54945,119.55,35.47,2005,3,11,1.446031,1.408649446,-0.037381554,2005/3/11
17440,54809,115.28,36.55,2005,3,21,4.546444,4.814391685,0.267947685,2005/3/21
7650,54420,117.33,40.93,2005,4,3,2.457939,2.636006984,0.178067984,2005/4/3
20535,54904,115.52,35.58,2005,4,9,5.12925,5.294800479,0.165550479,2005/4/9
19914,54851,120.57,36.9,2005,4,21,3.578851,2.640288982,-0.938562018,2005/4/21
16270,54737,118.15,37.15,2005,4,25,7.07023,6.888646087,-0.181583913,2005/4/25
5970,53986,113.88,35.32,2005,5,1,6.811176,6.584421053,-0.226754947,2005/5/1
15955,54731,118.22,37.48,2005,5,3,5.009825,5.07788668,0.06806168,2005/5/3
18168,54820,115.2,36.82,2005,5,16,13.207653,12.30131917,-0.906333832,2005/5/16
13093,54622,117.37,38.98,2005,5,21,8.813394,8.872959271,0.059565271,2005/5/21
22515,54939,118.82,35.17,2005,5,25,8.916687,8.647196721,-0.269490279,2005/5/25
6288,53992,114.52,35.65,2005,6,1,10.933417,10.05544803,-0.877968968,2005/6/1
21697,54920,117.28,35.65,2005,6,11,14.150861,13.59001467,-0.560846333,2005/6/11
23375,57090,113.97,34.72,2005,6,17,11.863998,13.09079985,1.226801851,2005/6/17
11224,54540,119.2,39.73,2005,6,25,16.035919,14.76013105,-1.275787953,2005/6/25
17072,54804,115.18,36.3,2005,7,8,17.694455,17.27232941,-0.422125587,2005/7/8
18627,54827,117.15,36.17,2005,7,17,16.88315,17.00496304,0.12181304,2005/7/17
9416,54507,115.52,39.33,2005,7,23,16.883155,17.50743735,0.624282346,2005/7/23
9625,54512,116.28,39.42,2005,7,28,16.048324,15.76908849,-0.279235514,2005/7/28
17809,54815,116.27,36.38,2005,8,5,15.360899,15.41323486,0.052335859,2005/8/5
6413,53994,114.07,35.38,2005,8,12,23.210618,23.33787536,0.127257361,2005/8/12
13901,54645,117.47,38.85,2005,8,21,11.424786,11.61896824,0.194182239,2005/8/21
18522,54825,117.85,36.52,2005,9,6,10.070387,9.922067577,-0.148319423,2005/9/6
26094,58047,119.23,34.25,2005,9,11,14.81288,15.34187411,0.528994105,2005/9/11
9353,54506,115.95,39.32,2005,9,13,10.317487,10.51109561,0.193608606,2005/9/13
15851,54730,118.13,37.7,2005,9,18,9.658214,9.051973832,-0.606240168,2005/9/18
18535,54825,117.85,36.52,2005,9,25,10.351002,10.14734763,-0.203654372,2005/9/25
23532,57093,114.82,34.85,2005,9,26,10.417652,10.91675513,0.499103135,2005/9/26
2454,53697,114.83,38.03,2005,10,2,7.459087,7.00639235,-0.45269465,2005/10/2
20353,54901,115.17,36.08,2005,10,4,8.083842,9.25704336,1.17320136,2005/10/4
10796,54531,118.72,39.73,2005,10,5,7.361282,8.196505066,0.835223066,2005/10/5
168,53484,113.15,40.45,2005,10,11,6.085869,6.840956904,0.755087904,2005/10/11
3279,53789,114.63,37.88,2005,10,17,4.02497,5.231627643,1.206657643,2005/10/17
14370,54705,115.38,37.37,2005,10,22,4.063441,4.831449329,0.768008329,2005/10/22
1725,53685,113.42,38.07,2005,11,2,4.525403,4.781451409,0.256048409,2005/11/2
1485,53680,114.38,38.3,2005,11,9,4.061879,3.249012877,-0.812866123,2005/11/9
8124,54429,117.95,40.2,2005,11,11,2.169385,2.87916471,0.70977971,2005/11/11
25387,58026,118.02,34.4,2005,11,22,4.462337,4.229169446,-0.233167554,2005/11/22
13012,54620,115.57,38.48,2005,11,24,2.180872,2.475804408,0.294932408,2005/11/24
3010,53784,114.78,37.75,2005,11,25,2.907842,2.190768199,-0.717073801,2005/11/25
19815,54849,120.03,36.22,2005,11,29,1.923745,1.927414092,0.003669092,2005/11/29
11542,54597,115.73,39.73,2005,12,3,1.245236,1.231829212,-0.013406788,2005/12/3
4484,53888,113.43,36.2,2005,12,7,0.879768,0.837725948,-0.042042052,2005/12/7
12658,54615,116.85,38.58,2005,12,11,0.863821,0.969393805,0.105572805,2005/12/11
183,53484,113.15,40.45,2005,12,12,0.655795,0.635222634,-0.020572366,2005/12/12
23647,57094,114.22,34.4,2006,1,3,3.525336176,3.492794948,-0.032541227,2006/1/3
9181,54503,115.82,39.07,2006,1,4,0.979790313,0.721356757,-0.258433556,2006/1/4
12386,54611,115.32,38.93,2006,1,9,1.331516068,1.407609886,0.076093818,2006/1/9
8918,54455,120.65,40.62,2006,1,12,1.942107052,2.761919632,0.81981258,2006/1/12
14181,54702,115.7,37.73,2006,1,18,1.994403882,2.130551374,0.136147492,2006/1/18
23406,57090,113.97,34.72,2006,1,23,2.873406943,2.772117313,-0.10128963,2006/1/23
16512,54749,119.95,37.18,2006,2,7,2.045829235,1.670161423,-0.375667812,2006/2/7
16473,54744,118.55,37.58,2006,2,10,2.665603719,2.343957926,-0.321645793,2006/2/10
964,53584,113.17,39.57,2006,2,18,0.813150019,0.795825155,-0.017324864,2006/2/18
11264,54540,119.2,39.73,2006,2,25,2.224012787,1.781131798,-0.442880989,2006/2/25
10935,54532,118.08,39.8,2006,3,9,3.128202873,3.437982038,0.309779164,2006/3/9
4566,53889,113.87,36.07,2006,3,16,2.112099555,2.265346301,0.153246746,2006/3/16
22764,57079,113.03,34.95,2006,4,1,5.613465732,6.229782631,0.6163169,2006/4/1
3835,53798,114.37,37.18,2006,4,9,3.760570435,4.4151326,0.654562166,2006/4/9
12224,54609,115.58,38.23,2006,4,21,6.125799563,6.20234724,0.076547677,2006/4/21
11470,54594,116.35,39.72,2006,4,25,4.304907249,4.459049786,0.154142537,2006/4/25
5323,53899,114.97,36.48,2006,5,1,7.12320678,6.899400853,-0.223805927,2006/5/1
21436,54915,116.6,35.43,2006,5,3,6.953838359,7.533066815,0.579228456,2006/5/3
5462,53979,113.08,35.15,2006,5,10,10.17200204,8.665011712,-1.506990325,2006/5/10
16283,54737,118.15,37.15,2006,5,20,11.56221339,10.83920969,-0.723003702,2006/5/20
3241,53789,114.63,37.88,2006,5,23,9.524283486,9.801348473,0.277064988,2006/5/23
25278,58024,117.58,34.87,2006,6,1,11.00303761,10.48411146,-0.518926147,2006/6/1
8185,54430,118.22,40.78,2006,6,10,9.43337871,8.779475916,-0.653902794,2006/6/10
5320,53899,114.97,36.48,2006,6,18,12.02254939,11.55260836,-0.469941027,2006/6/18
7633,54419,116.63,40.37,2006,6,26,14.9923469,13.53341741,-1.458929483,2006/6/26
13689,54633,115.27,37.5,2006,7,7,15.01497094,15.60649995,0.591529006,2006/7/7
25917,58038,118.78,34.08,2006,7,15,20.05583231,20.81834946,0.762517148,2006/7/15
5535,53980,114.8,36.55,2006,7,22,16.38542366,15.74524253,-0.640181123,2006/7/22
22732,54945,119.55,35.47,2006,7,26,17.54204925,16.33673003,-1.205319223,2006/7/26
24495,58007,115.3,34.07,2006,8,4,18.53750483,18.96704125,0.429536419,2006/8/4
1384,53599,114.68,39.37,2006,8,11,17.86821809,17.5255696,-0.342648486,2006/8/11
21937,54922,117.75,35.87,2006,8,16,18.1234231,17.12006438,-1.003358726,2006/8/16
14000,54645,117.47,38.85,2006,9,4,8.508275922,8.370441584,-0.137834338,2006/9/4
17665,54811,116.62,36.93,2006,9,8,10.25625832,10.14861223,-0.107646085,2006/9/8
542,53491,114.38,40.68,2006,9,13,7.378294927,7.419894494,0.041599568,2006/9/13
12706,54615,116.85,38.58,2006,9,17,12.78040099,12.89090075,0.110499761,2006/9/17
1528,53681,113.37,38.83,2006,9,22,7.405673009,7.28165023,-0.124022779,2006/9/22
8029,54428,117.4,40.03,2006,9,25,12.43752557,12.13979995,-0.297725619,2006/9/25
6123,53989,113.98,35.08,2006,10,2,11.35826957,11.19484232,-0.163427254,2006/10/2
4546,53889,113.87,36.07,2006,10,4,8.960540881,9.349055476,0.388514595,2006/10/4
24686,58012,116.65,34.67,2006,10,5,11.74748236,12.23543828,0.487955917,2006/10/5
1870,53689,115.07,38.02,2006,10,11,7.995853571,8.085001461,0.08914789,2006/10/11
2567,53698,114.35,38.07,2006,10,22,5.015657175,5.623146794,0.607489619,2006/10/22
18421,54822,117.73,36.87,2006,10,23,4.281148594,6.412885714,2.13173712,2006/10/23
12285,54610,116.1,38.73,2006,10,31,5.623095911,5.672135152,0.04903924,2006/10/31
25177,58021,117.28,34.78,2006,11,3,4.797979941,6.051178398,1.253198456,2006/11/3
19560,54842,120,36.78,2006,11,8,4.686765517,5.824767787,1.13800227,2006/11/8
5181,53897,114.35,36.4,2006,11,19,4.753200519,5.114175792,0.360975273,2006/11/19
12132,54608,115.55,38,2006,11,22,3.932152283,3.478351575,-0.453800708,2006/11/22
9504,54510,116.95,39.92,2006,11,23,2.227734634,2.611629937,0.383895303,2006/11/23
22397,54935,118.43,35.53,2006,11,28,3.496723514,3.699462591,0.202739077,2006/11/28
10348,54523,117.07,39.43,2006,12,3,1.538855735,1.521525962,-0.017329773,2006/12/3
14435,54705,115.38,37.37,2006,12,10,3.094129696,2.956954184,-0.137175512,2006/12/10
16042,54731,118.22,37.48,2006,12,11,2.885619631,2.97485367,0.089234039,2006/12/11
10199,54521,116.98,39.7,2006,12,24,2.269552672,2.196536493,-0.073016179,2006/12/24
20011,54851,120.57,36.9,2006,12,31,3.799856824,3.725477131,-0.074379693,2006/12/31
7345,54408,115.22,40.38,2007,1,3,1.569895,1.747935534,0.178040534,2007/1/3
23780,57095,114.15,34.12,2007,1,9,2.042935,2.129329171,0.086394171,2007/1/9
12670,54614,116.05,38.42,2007,1,12,2.063288,2.047287177,-0.016000823,2007/1/12
7721,54420,117.33,40.93,2007,1,14,0.969333,0.849670712,-0.119662288,2007/1/14
11239,54539,118.88,39.43,2007,1,23,1.96831,1.71582791,-0.25248209,2007/1/23
16778,54755,120.38,37.33,2007,2,6,3.493805,2.827325892,-0.666479108,2007/2/6
15734,54726,117.18,37.7,2007,2,10,1.35752,1.716455549,0.358935549,2007/2/10
11604,54597,115.73,39.73,2007,2,12,1.555568,1.733642157,0.178074157,2007/2/12
2262,53694,114.22,38.27,2007,2,24,2.947415,3.059884741,0.112469741,2007/2/24
1269,53594,114.18,39.45,2007,3,8,1.820434,1.815320045,-0.005113955,2007/3/8
12881,54617,116.17,38.2,2007,3,16,3.289522,2.878362987,-0.411159013,2007/3/16
21545,54916,116.85,35.57,2007,3,25,5.688243,6.470904194,0.782661194,2007/3/25
19155,54833,118.08,36.97,2007,4,3,1.922065,1.754601549,-0.167463451,2007/4/3
8163,54429,117.95,40.2,2007,4,9,3.814161,3.943051859,0.128890859,2007/4/9
6822,54304,115.27,40.95,2007,4,20,2.712508,2.138170557,-0.574337443,2007/4/20
24096,57191,114.47,34.52,2007,4,24,6.518876,6.236930174,-0.281945826,2007/4/24
23098,57085,113.33,34.53,2007,5,1,8.026008,7.169989489,-0.856018511,2007/5/1
24192,58002,115.58,34.85,2007,5,8,13.336202,13.09338254,-0.242819459,2007/5/8
23474,57090,113.97,34.72,2007,5,17,6.067413,6.499542673,0.432129673,2007/5/17
12050,54606,115.73,38.23,2007,5,20,7.696779,6.859048551,-0.837730449,2007/5/20
15354,54717,116.4,37.63,2007,5,29,9.856082,9.638830545,-0.217251455,2007/5/29
7243,54406,115.97,40.45,2007,6,7,12.085043,9.236167623,-2.848875377,2007/6/7
6064,53987,113.35,35.1,2007,6,16,12.93615,13.01944594,0.08329594,2007/6/16
3686,53795,114.4,37.65,2007,6,24,12.128633,11.98812741,-0.140505589,2007/6/24
17298,54805,115.47,36.45,2007,7,6,16.472433,15.91520173,-0.557231275,2007/7/6
20221,54855,120.38,36.4,2007,7,11,14.930133,15.13700626,0.206873262,2007/7/11
21830,54920,117.28,35.65,2007,7,21,12.709818,14.09345095,1.38363295,2007/7/21
7805,54421,117.12,40.65,2007,7,23,12.51766,12.33334536,-0.184314636,2007/7/23
17251,54804,115.18,36.3,2007,7,31,19.769877,20.57268591,0.802808913,2007/7/31
17871,54814,116.25,36.53,2007,8,5,17.79203,17.22125668,-0.570773318,2007/8/5
12540,54612,116.45,38.85,2007,8,12,17.016839,16.18708119,-0.829757811,2007/8/12
16197,54734,118,37.35,2007,8,31,17.589489,14.99414971,-2.59533929,2007/8/31
4226,53883,114.7,37.13,2007,9,6,11.938023,12.4377235,0.4997005,2007/9/6
18044,54816,116.8,36.52,2007,9,12,11.444381,12.64740641,1.203025407,2007/9/12
18230,54819,116.8,36.18,2007,9,14,13.722544,13.58451434,-0.138029657,2007/9/14
10504,54525,117.28,39.73,2007,9,19,10.622247,10.36823562,-0.25401138,2007/9/19
23341,57088,113.5,34.18,2007,9,25,11.942911,11.55199865,-0.390912353,2007/9/25
14251,54702,115.7,37.73,2007,9,29,8.350228,8.714240292,0.364012292,2007/9/29
24749,58012,116.65,34.67,2007,10,2,11.831235,12.45399752,0.622762522,2007/10/2
947,53584,113.17,39.57,2007,10,5,10.13014,10.75645287,0.626312866,2007/10/5
26281,58048,119.35,34.12,2007,10,11,9.461298,9.411433549,-0.049864451,2007/10/11
24711,58011,116.07,34.8,2007,10,17,7.37641,7.587412736,0.211002736,2007/10/17
9188,54502,116.03,39.48,2007,10,23,6.586686,6.338996268,-0.247689732,2007/10/23
13314,54624,117.32,38.4,2007,10,31,4.146421,3.818375589,-0.328045411,2007/10/31
12135,54607,115.12,38.72,2007,11,2,3.122967,4.103143055,0.980176055,2007/11/2
13598,54631,115.15,37.07,2007,11,8,6.315604,5.989515743,-0.326088257,2007/11/8
8751,54438,118.88,39.88,2007,11,10,3.411897,3.103402361,-0.308494639,2007/11/10
19364,54836,118.17,36.18,2007,11,21,3.74089,3.457339707,-0.283550293,2007/11/21
15513,54719,116.68,38.03,2007,11,23,4.491773,3.244104482,-1.247668518,2007/11/23
1215,53593,114.57,39.83,2007,11,24,2.24178,3.586192589,1.344412589,2007/11/24
8106,54428,117.4,40.03,2007,11,28,2.255479,2.103170394,-0.152308606,2007/11/28
3344,53790,114.6,37.63,2007,12,6,2.78609,2.824226423,0.038136423,2007/12/6
6115,53988,113.67,35.27,2007,12,11,3.879919,4.172079218,0.292160218,2007/12/11
13723,54633,115.27,37.5,2007,12,18,2.654038,2.850233952,0.196195952,2007/12/18
9532,54510,116.95,39.92,2007,12,25,2.399459,2.613176143,0.213717143,2007/12/25
11513,54596,116.2,39.77,2008,1,3,1.210765,1.244793677,0.034028677,2008/1/3
16421,54744,118.55,37.58,2008,1,4,1.960889,1.489531486,-0.471357514,2008/1/4
4961,53894,114.2,36.4,2008,1,9,2.209768,2.814055729,0.604287729,2008/1/9
19900,54849,120.03,36.22,2008,1,14,1.663076,1.680110876,0.017034876,2008/1/14
6543,53995,114.5,35.55,2008,1,18,2.68025,2.314397303,-0.365852697,2008/1/18
23674,57095,114.15,34.12,2008,1,23,1.960535,1.807107521,-0.153427479,2008/1/23
7985,54425,117.47,40.4,2008,2,7,0.724613,0.696009947,-0.028603053,2008/2/7
18854,54830,117.93,36.82,2008,2,11,1.185151,1.063118254,-0.122032746,2008/2/11
13804,54640,114.87,36.92,2008,2,23,2.092204,2.110987751,0.018783751,2008/2/23
18074,54818,116.42,36.25,2008,2,26,2.712204,2.230146515,-0.482057485,2008/2/26
24069,58001,115.1,34.43,2008,3,9,5.111959,5.433603294,0.321644294,2008/3/9
17549,54810,116.27,36.87,2008,3,20,3.311357,3.068010011,-0.243346989,2008/3/20
808,53580,113.1,39.82,2008,4,1,3.763091,3.493767549,-0.269323451,2008/4/1
7644,54419,116.63,40.37,2008,4,8,8.241677,7.512843478,-0.728833522,2008/4/8
5518,53980,114.8,36.55,2008,4,19,8.357386,8.395808988,0.038422988,2008/4/19
1955,53689,115.07,38.02,2008,4,24,4.408118,4.726561302,0.318443302,2008/4/24
23684,57095,114.15,34.12,2008,4,29,9.604006,9.879706049,0.275700049,2008/4/29
15066,54714,116.33,37.45,2008,5,3,12.651695,10.62110582,-2.030589184,2008/5/3
16636,54753,120.33,37.63,2008,5,16,10.11082,10.12372223,0.01290223,2008/5/16
14098,54701,115.2,37.93,2008,5,20,9.389215,8.558820979,-0.830394021,2008/5/20
21072,54910,116.05,35.82,2008,5,24,14.833188,14.77235617,-0.060831835,2008/5/24
2482,53697,114.83,38.03,2008,5,31,8.169953,7.110899939,-1.059053061,2008/5/31
